,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,last_poll,Contested,Last_Party,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,MyNeta_education,TCPD_Prof_Main,predicted
22313,ASHOK BENDALAM,M,TDP,86815,GEN,160919,224989,ichchapuram,GEN,COASTAL ANDHRA,9,71.52,53.95,no,25278,15.71,2.27,True,1.0,,,,,1.0,False,False,False,32.0,srikakulam,12th Pass,Agriculture,1
22323,GOUTHU SYAM SUNDER SIVAJI,M,TDP,69658,GEN,137294,190925,palasa,GEN,COASTAL ANDHRA,11,71.91,50.74,no,17525,12.76,2.5,True,3.0,TDP,SOMPETA,False,True,3.0,False,False,False,64.0,srikakulam,Graduate,Social Work,2
22335,ATCHANNAIDU KINJARAPU,M,TDP,81167,GEN,160394,205744,tekkali,GEN,COASTAL ANDHRA,6,77.96,50.6,no,8387,5.23,2.13,True,5.0,TDP,TEKKALI,True,True,4.0,False,False,True,43.0,srikakulam,Others,Business,2
22342,KALAMATA VENKATA RAMANA MURTHY,M,YSRCP,69320,GEN,141038,193789,pathapatnam,GEN,COASTAL ANDHRA,6,72.78,49.15,no,3865,2.74,2.17,True,2.0,TDP,PATHAPATNAM,True,False,1.0,True,False,True,49.0,srikakulam,Graduate,Agriculture,1
22349,GUNDA LAKSHMI DEVI,F,TDP,88814,GEN,164523,228112,srikakulam,GEN,COASTAL ANDHRA,12,72.12,53.98,no,24131,14.67,2.27,True,1.0,,,,,1.0,False,False,False,53.0,srikakulam,10th Pass,Politics,1
22362,KOONA RAVIKUMAR,M,TDP,65233,GEN,134111,173788,amadalavalasa,GEN,COASTAL ANDHRA,9,77.17,48.64,no,5449,4.06,2.27,True,2.0,TDP,AMADALAVALASA,True,True,1.0,False,False,True,46.0,srikakulam,Post Graduate,Social Work,1
22372,KALAVENKATARAO KIMIDI,M,TDP,85769,GEN,174001,210400,etcherla,GEN,COASTAL ANDHRA,8,82.7,49.29,no,4741,2.72,2.17,True,6.0,PRAP,ETCHERLA,True,False,5.0,True,False,True,60.0,srikakulam,12th Pass,Agriculture,2
22381,RAMANAMURTY BAGGU,M,TDP,76559,GEN,155156,196379,narasannapeta,GEN,COASTAL ANDHRA,7,79.01,49.34,no,4800,3.09,2.22,True,1.0,,,,,1.0,False,False,False,55.0,srikakulam,Post Graduate,Agriculture,1
22389,KAMBALA JOGULU,M,YSRCP,69192,SC,147887,199349,rajam,SC,COASTAL ANDHRA,9,74.18,46.79,no,512,0.35,2.27,True,1.0,,,,,1.0,False,False,False,47.0,srikakulam,Graduate Professional,Liberal Profession or Professional,1
22399,VISWASARAYI KALAVATHI,F,YSRCP,55337,ST,121428,168256,palakonda,ST,COASTAL ANDHRA,7,72.17,45.57,no,1620,1.33,2.44,True,2.0,PRAP,PALAKONDA,True,False,1.0,True,False,True,48.0,srikakulam,Graduate Professional,Liberal Profession or Professional,1
22407,PAMULA PUSHPA SREEVANI,F,YSRCP,55435,ST,133254,176271,kurupam,ST,COASTAL ANDHRA,8,75.6,41.6,no,19083,14.32,3.57,True,1.0,,,,,1.0,False,False,False,27.0,vizianagaram,Graduate Professional,Liberal Profession or Professional,0
