,District_Name,Constituency_Name
0,SRIKAKULAM,ICHCHAPURAM
10,SRIKAKULAM,PALASA
22,SRIKAKULAM,TEKKALI
29,SRIKAKULAM,PATHAPATNAM
36,SRIKAKULAM,SRIKAKULAM
49,SRIKAKULAM,AMADALAVALASA
59,SRIKAKULAM,ETCHERLA
68,SRIKAKULAM,NARASANNAPETA
76,SRIKAKULAM,RAJAM
86,SRIKAKULAM,PALAKONDA
94,VIZIANAGARAM,KURUPAM
103,VIZIANAGARAM,PARVATHIPURAM
112,VIZIANAGARAM,SALUR
119,VIZIANAGARAM,BOBBILI
126,VIZIANAGARAM,CHEEPURUPALLE
139,VIZIANAGARAM,GAJAPATHINAGARAM
148,VIZIANAGARAM,NELLIMARLA
159,VIZIANAGARAM,VIZIANAGARAM
171,VIZIANAGARAM,SRUNGAVARAPUKOTA
181,VISHAKAPATNAM,BHIMILI
190,VISHAKAPATNAM,VISAKHAPATNAM EAST
212,VISHAKAPATNAM,VISAKHAPATNAM SOUTH
228,VISHAKAPATNAM,VISAKHAPATNAM NORTH
242,VISHAKAPATNAM,VISAKHAPATNAM WEST
255,VISHAKAPATNAM,GAJUWAKA
273,VISHAKAPATNAM,CHODAVARAM
282,VISHAKAPATNAM,MADUGULA
290,VISHAKAPATNAM,ARAKU VALLEY
302,VISHAKAPATNAM,PADERU
313,VISHAKAPATNAM,ANAKAPALLE
328,VISHAKAPATNAM,PENDURTHI
339,VISHAKAPATNAM,YELAMANCHILI
351,VISHAKAPATNAM,PAYAKARAOPET
362,VISHAKAPATNAM,NARSIPATNAM
374,EAST GODAVARI,TUNI
384,EAST GODAVARI,PRATHIPADU
396,EAST GODAVARI,PITHAPURAM
412,EAST GODAVARI,KAKINADA RURAL
430,EAST GODAVARI,PEDDAPURAM
444,EAST GODAVARI,ANAPARTHY
461,EAST GODAVARI,KAKINADA CITY
478,EAST GODAVARI,RAMACHANDRAPURAM
496,EAST GODAVARI,MUMMIDIVARAM
510,EAST GODAVARI,AMALAPURAM
522,EAST GODAVARI,RAZOLE
533,EAST GODAVARI,GANNAVARAM
546,EAST GODAVARI,KOTHAPETA
558,EAST GODAVARI,MANDAPETA
584,EAST GODAVARI,RAJANAGARAM
595,EAST GODAVARI,RAJAHMUNDRY CITY
616,EAST GODAVARI,RAJAHMUNDRY RURAL
630,EAST GODAVARI,JAGGAMPETA
642,EAST GODAVARI,RAMPACHODAVARAM
656,WEST GODAVARI,KOVVUR
670,WEST GODAVARI,NIDADAVOLE
683,WEST GODAVARI,ACHANTA
696,WEST GODAVARI,PALACOLE
710,WEST GODAVARI,NARASAPURAM
719,WEST GODAVARI,BHIMAVARAM
730,WEST GODAVARI,UNDI
739,WEST GODAVARI,TANUKU
753,WEST GODAVARI,TADEPALLIGUDEM
766,WEST GODAVARI,UNGUTUR
777,WEST GODAVARI,DENDULURU
784,WEST GODAVARI,ELURU
802,WEST GODAVARI,GOPALAPURAM
810,WEST GODAVARI,POLAVARAM
820,WEST GODAVARI,CHINTALAPUDI
834,KRISHNA,TIRUVURU
855,KRISHNA,NUZVID
869,KRISHNA,GANNAVARAM
880,KRISHNA,GUDIVADA
894,KRISHNA,KAIKALUR
907,KRISHNA,PEDANA
917,KRISHNA,MACHILIPATNAM
928,KRISHNA,AVANIGADDA
